name,carry-on compliance,Aeroflot,AeroMexico,Air Canada,Air China,Air France,Air New Zealand,Air Transat,AirAsia,Alaska Airlines,American Airlines,ANA,Asiana Airlines,Austrian Airlines,British Airways,Cathay Pacific,China Airlines,China Eastern,China Southern,Delta,easyJet,Emirates,Etihad Airways,Eva Airways,Fiji Airways,Frontier Airlines,Hainan Airlines,Hawaiian,Iberia,Icelandair,Indigo,Japan Airlines,Jet2.com,jetBlue Airways,Jetstar,Juneyao Airlines,KLM,Korean Air,LATAM Airlines,Lufthansa,Qantas,Qatar Airways,Ryanair,SAUDIA,Shenzhen Airlines,Singapore Airlines,Southwest Airlines,Spirit Airlines,Swiss,Thai Airways,Turkish Airlines,United Airlines,Virgin Atlantic,Vueling,WestJet,Wizz Air,Xiamen Airlines,,,,,,,,
Cabin Zero Military 28,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Cotopaxi Allpa 28,71%,✔,✔,✔,✗,✔,✔,✔,✗,✗,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✗,✔,✗,✔,✔,✔,✗,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✔,,,,,,,,
Cotopaxi Allpa 35,21%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Decathlon Forclaz Travel 500 Backpack,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Deuter Utilion 30,91%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
eBags Mother Lode Travel Backpack,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
eBags Pro Slim Weekender,64%,✔,✔,✔,✗,✗,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✗,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✗,✗,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,,,,,,,,
Evergoods Civic Half Zip 22L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Evergoods Civic Half Zip 26L,71%,✔,✔,✔,✗,✔,✔,✔,✗,✗,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✗,✔,✗,✔,✔,✔,✗,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✔,,,,,,,,
Evergoods Civic Panel Loader 16L,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
